keys,en,ru
DAILY_QUEST_COMPLETE_LEVELS_1,Complete level (1),Завершить уровень (1)
DAILY_QUEST_COMPLETE_LEVELS_2,Complete levels (2),Завершить уровни (2)
DAILY_QUEST_COMPLETE_LEVELS_3,Complete levels (3),Завершить уровни (3)
DAILY_QUEST_COMPLETE_LEVELS_5,Complete levels (5),Завершить уровни (5)
DAILY_QUEST_PLAY_DRUM_1,Play drum level (1),Сыграть уровень на барабанах (1)
DAILY_QUEST_PLAY_DRUM_2,Play drum levels (2),Сыграть уровни на барабанах (2)
DAILY_QUEST_PLAY_DRUM_3,Play drum levels (3),Сыграть уровни на барабанах (3)
DAILY_QUEST_PERFECT_HITS_30,Land PERFECT hits (30),Сделать PERFECT‑попадания (30)
DAILY_QUEST_PERFECT_HITS_50,Land PERFECT hits (50),Сделать PERFECT‑попадания (50)
DAILY_QUEST_PERFECT_HITS_100,Land PERFECT hits (100),Сделать PERFECT‑попадания (100)
DAILY_QUEST_ACCURACY_80_1,Finish level(s) with ≥80% accuracy (1),Завершить уровень с точностью ≥ 80% (1)
DAILY_QUEST_ACCURACY_80_2,Finish level(s) with ≥80% accuracy (2),Завершить уровни с точностью ≥ 80% (2)
DAILY_QUEST_ACCURACY_90_1,Finish level(s) with ≥90% accuracy (1),Завершить уровень с точностью ≥ 90% (1)
DAILY_QUEST_ACCURACY_90_2,Finish level(s) with ≥90% accuracy (2),Завершить уровни с точностью ≥ 90% (2)
DAILY_QUEST_ACCURACY_95_1,Finish level(s) with ≥95% accuracy (1),Завершить уровень с точностью ≥ 95% (1)
DAILY_QUEST_COMBO_30_1,Reach combo ≥30 (1),Достичь комбо ≥ 30 (1)
DAILY_QUEST_COMBO_30_2,Reach combo ≥30 (2),Достичь комбо ≥ 30 (2)
DAILY_QUEST_COMBO_60_1,Reach combo ≥60 (1),Достичь комбо ≥ 60 (1)
DAILY_QUEST_COMBO_60_2,Reach combo ≥60 (2),Достичь комбо ≥ 60 (2)
DAILY_QUEST_COMBO_100_1,Reach combo ≥100 (1),Достичь комбо ≥ 100 (1)
DAILY_QUEST_MISSLESS_1,Clear with no misses (1),Пройти без промахов (1)
DAILY_QUEST_MISSLESS_2,Clear with no misses (2),Пройти без промахов (2)
DAILY_QUEST_NOTES_GENERATED_1,Generate notes (1),Сгенерировать ноты (1)
DAILY_QUEST_NOTES_GENERATED_2,Generate notes (2),Сгенерировать ноты (2)
DAILY_QUEST_NOTES_GENERATED_3,Generate notes (3),Сгенерировать ноты (3)
DAILY_QUEST_HIT_NOTES_200,Hit notes (200),Попасть по нотам (200)
DAILY_QUEST_HIT_NOTES_300,Hit notes (300),Попасть по нотам (300)
DAILY_QUEST_HIT_NOTES_500,Hit notes (500),Попасть по нотам (500)
DAILY_QUEST_HIT_NOTES_800,Hit notes (800),Попасть по нотам (800)
DAILY_QUEST_HIT_NOTES_1000,Hit notes (1000),Попасть по нотам (1000)
DAILY_QUEST_PLAYTIME_15M,Play for 15 minutes,Провести 15 минут в игре
DAILY_QUEST_DRUM_PERFECTS_30,PERFECT hits on drums (30),Сделать PERFECT на барабанах (30)
DAILY_QUEST_DRUM_PERFECTS_60,PERFECT hits on drums (60),Сделать PERFECT на барабанах (60)
DAILY_QUEST_DRUM_PERFECTS_90,PERFECT hits on drums (90),Сделать PERFECT на барабанах (90)
DAILY_QUEST_LEVEL_RESTARTED_1,Restart level (1),Перезапустить уровень (1)
DAILY_QUEST_LEVEL_RESTARTED_3,Restart levels (3),Перезапустить уровни (3)
DAILY_QUEST_PROFILE_LEVEL_UP_1,Raise profile level (1),Повысить уровень профиля (1)
DAILY_QUEST_PROFILE_LEVEL_UP_2,Raise profile levels (2),Повысить уровни профиля (2)
DAILY_QUEST_MISSLESS_3,Clear with no misses (3),Пройти без промахов (3)
DAILY_QUEST_ACCURACY_95_2,Finish level(s) with ≥95% accuracy (2),Завершить уровни с точностью ≥ 95% (2)
DAILY_QUEST_COMBO_100_2,Reach combo ≥100 (2),Достичь комбо ≥ 100 (2)
DAILY_QUEST_HIT_NOTES_1200,Hit notes (1200),Попасть по нотам (1200)
DAILY_QUEST_HIT_NOTES_1500,Hit notes (1500),Попасть по нотам (1500)
DAILY_QUEST_PLAY_GROUP_ELECTRONIC_1,Play in electronic genres (1),Сыграть в электронных жанрах (1)
DAILY_QUEST_PLAY_GROUP_ELECTRONIC_2,Play in electronic genres (2),Сыграть в электронных жанрах (2)
DAILY_QUEST_PLAY_GROUP_GUITAR_ROCK_1,Play in guitar genres (1),Сыграть в гитарных жанрах (1)
DAILY_QUEST_PLAY_GROUP_GUITAR_ROCK_2,Play in guitar genres (2),Сыграть в гитарных жанрах (2)
DAILY_QUEST_PLAY_GROUP_RAP_1,Play in rap genres (1),Сыграть в рэп‑жанрах (1)
DAILY_QUEST_PLAY_GROUP_RAP_2,Play in rap genres (2),Сыграть в рэп‑жанрах (2)
DAILY_QUEST_PLAY_GROUP_INDIE_ALT_1,Play in indie/alt genres (1),Сыграть в инди/альт жанрах (1)
DAILY_QUEST_PLAY_GROUP_INDIE_ALT_2,Play in indie/alt genres (2),Сыграть в инди/альт жанрах (2)
DAILY_QUEST_PLAY_GROUP_EXPERIMENTAL_1,Play in experimental genres (1),Сыграть в экспериментальных жанрах (1)
DAILY_QUEST_PLAY_GROUP_EXPERIMENTAL_2,Play in experimental genres (2),Сыграть в экспериментальных жанрах (2)
DAILY_QUEST_PLAY_GROUP_POP_1,Play in pop genres (1),Сыграть в поп‑жанрах (1)
DAILY_QUEST_PLAY_GROUP_POP_2,Play in pop genres (2),Сыграть в поп‑жанрах (2)
DAILY_QUEST_PLAY_GROUP_CLASSICAL_ORCHESTRAL_1,Play in classical/orchestral genres (1),Сыграть в классике/оркестровых (1)
DAILY_QUEST_PLAY_GROUP_CLASSICAL_ORCHESTRAL_2,Play in classical/orchestral genres (2),Сыграть в классике/оркестровых (2)
DAILY_QUEST_PLAY_GROUP_JAZZ_SOUL_1,Play in jazz/soul genres (1),Сыграть в джаз/соул жанрах (1)
DAILY_QUEST_PLAY_GROUP_JAZZ_SOUL_2,Play in jazz/soul genres (2),Сыграть в джаз/соул жанрах (2)
DAILY_QUEST_PLAY_GROUP_FOLK_WORLD_1,Play in folk/world genres (1),Сыграть в фолк/мировых жанрах (1)
DAILY_QUEST_PLAY_GROUP_FOLK_WORLD_2,Play in folk/world genres (2),Сыграть в фолк/мировых жанрах (2)
DAILY_QUEST_PLAY_GROUP_INDUSTRIAL_NOISE_1,Play in noise/industrial genres (1),Сыграть в нойз/индустриал (1)
DAILY_QUEST_PLAY_GROUP_INDUSTRIAL_NOISE_2,Play in noise/industrial genres (2),Сыграть в нойз/индустриал (2)
DAILY_QUEST_PLAY_GROUP_DANCE_CLASSICS_1,Play in disco (1),Сыграть в диско (1)
DAILY_QUEST_PLAY_GROUP_DANCE_CLASSICS_2,Play in disco (2),Сыграть в диско (2)
DAILY_QUEST_PLAY_GROUP_INDUSTRIAL_1,Play in industrial (1),Сыграть в индастриал (1)
DAILY_QUEST_PLAY_GROUP_INDUSTRIAL_2,Play in industrial (2),Сыграть в индастриал (2)
DAILY_QUEST_PLAY_GROUP_REGGAE_DUB_1,Play in reggae/dub (1),Сыграть в регги/даб (1)
DAILY_QUEST_PLAY_GROUP_REGGAE_DUB_2,Play in reggae/dub (2),Сыграть в регги/даб (2)
DAILY_QUEST_PLAY_GROUP_BLUES_1,Play in blues (1),Сыграть в блюз (1)
DAILY_QUEST_PLAY_GROUP_BLUES_2,Play in blues (2),Сыграть в блюз (2)
DAILY_QUEST_PLAY_GROUP_FOLK_1,Play in folk (1),Сыграть в фолк (1)
DAILY_QUEST_PLAY_GROUP_FOLK_2,Play in folk (2),Сыграть в фолк (2)
DAILY_QUEST_PLAY_GROUP_EDM_1,Play in EDM (1),Сыграть в EDM (1)
DAILY_QUEST_PLAY_GROUP_EDM_2,Play in EDM (2),Сыграть в EDM (2)
DAILY_QUEST_PLAY_GROUP_BASS_MUSIC_1,Play in bass genres (1),Сыграть в бас‑жанрах (1)
DAILY_QUEST_PLAY_GROUP_BASS_MUSIC_2,Play in bass genres (2),Сыграть в бас‑жанрах (2)
DAILY_QUEST_PLAY_GROUP_ROCK_1,Play in rock genres (1),Сыграть в рок‑жанрах (1)
DAILY_QUEST_PLAY_GROUP_ROCK_2,Play in rock genres (2),Сыграть в рок‑жанрах (2)
DAILY_QUEST_PLAY_GROUP_METAL_1,Play in metal genres (1),Сыграть в метал‑жанрах (1)
DAILY_QUEST_PLAY_GROUP_METAL_2,Play in metal genres (2),Сыграть в метал‑жанрах (2)
DAILY_QUEST_PLAY_GROUP_JAZZ_1,Play in jazz/blues (1),Сыграть в джаз/блюз (1)
DAILY_QUEST_PLAY_GROUP_JAZZ_2,Play in jazz/blues (2),Сыграть в джаз/блюз (2)
DAILY_QUEST_PLAY_GROUP_SOUL_FUNK_1,Play in soul/funk (1),Сыграть в соул/фанк (1)
DAILY_QUEST_PLAY_GROUP_SOUL_FUNK_2,Play in soul/funk (2),Сыграть в соул/фанк (2)
DAILY_QUEST_PLAY_GROUP_FOLK_COUNTRY_1,Play in folk/country (1),Сыграть в фолк/кантри (1)
DAILY_QUEST_PLAY_GROUP_FOLK_COUNTRY_2,Play in folk/country (2),Сыграть в фолк/кантри (2)
DAILY_QUEST_PLAY_GROUP_WORLD_1,Play in world genres (1),Сыграть в мировых жанрах (1)
DAILY_QUEST_PLAY_GROUP_WORLD_2,Play in world genres (2),Сыграть в мировых жанрах (2)
DAILY_QUEST_PLAY_GROUP_LATIN_1,Play in Latin genres (1),Сыграть в латино (1)
DAILY_QUEST_PLAY_GROUP_LATIN_2,Play in Latin genres (2),Сыграть в латино (2)
DAILY_QUEST_MODIFIER_CLEAR_1,Clear a level with any modifier (1),Завершить уровень с модификатором (1)
