keys,en,ru
HELP_SEC_start_TITLE,Getting Started,С чего начать?
HELP_first_run_TITLE,What to do on first launch?,С чего начать при первом запуске?
HELP_first_run_SUMMARY,In short: BPM → notes → play; server mode is under Settings → Generation.,Коротко: BPM → ноты → играть; режим сервера — в Настройки → Генерация.
HELP_first_run_CONTENT,"[flow linear]
music.svg|primary|Song in library
metronome.svg|teal|Detect BPM
sparkles.svg|mint|Generate notes
circle-play.svg|play|Play
[/flow]

[color=#{muted}]RhythmFallServer.exe[/color] ships with the game — by default the server starts automatically.
Server mode is set in [color=#{sky}]Settings → Generation[/color] ([color=#{teal}]Automatic[/color] / [color=#{primary}]Manual[/color] / [color=#{sky}]LAN[/color]).

[callout tip]If BPM or generation does not finish, wait a few seconds in Automatic mode or open Server and Audio Analysis.[/callout]","[flow linear]
music.svg|primary|Песня в библиотеке
metronome.svg|teal|Вычислить BPM
sparkles.svg|mint|Сгенерировать ноты
circle-play.svg|play|Играть
[/flow]

[color=#{muted}]RhythmFallServer.exe[/color] входит в комплект — по умолчанию сервер запускается автоматически.
Режим сервера задаётся в [color=#{sky}]Настройки → Генерация[/color] ([color=#{teal}]Авто[/color] / [color=#{primary}]Вручную[/color] / [color=#{sky}]LAN[/color]).

[callout tip]Если BPM или генерация не завершаются, в режиме Авто достаточно подождать несколько секунд либо открыть раздел «Сервер и анализ аудио».[/callout]"
HELP_after_first_TITLE,What to do after your first song?,Что делать после первой песни?
HELP_after_first_CONTENT,"After clearing a level, available systems include:
· [color=#{purple}]Profile[/color] — overview, statistics, genre mastery, and records; level, XP, medals, and Rhythm Rating.
· [color=#{cat_daily}]Daily quests[/color] — three quests in the main menu; each awards currency immediately.
· [color=#{primary}]Shop[/color] — cosmetics: note skins, hit sounds, lane highlights, hit particles.
· On song select — run modifiers.
· [color=#{cat_ach}]Achievements[/color] — long-term goals; some rewards unlock items outside normal purchase.","После прохождения уровня доступны:
· [color=#{purple}]Профиль[/color] — обзор, статистика, мастерство жанров и рекорды; уровень, XP, медали и Rhythm Rating.
· [color=#{cat_daily}]Ежедневные задания[/color] — три квеста в главном меню; за каждый сразу начисляется валюта.
· [color=#{primary}]Магазин[/color] — косметика: скины нот, звуки удара, подсветка линий, частицы хита.
· На выборе песни — модификаторы забега.
· [color=#{cat_ach}]Достижения[/color] — долгосрочные цели; часть наград открывает предметы вне обычной покупки."
HELP_audio_timing_TITLE,Audio is early or late compared to notes — what to do?,Звук отстаёт или опережает ноты — что делать?
HELP_audio_timing_CONTENT,"[flow split]
left=headphones.svg|teal|Audio lags|Need offset −
right=headphones.svg|pink|Audio leads|Need offset +
[/flow]

When hits are consistently early or late relative to the beat, the cause is usually sound-card or headphone latency — not the server.
· Audio [color=#{teal}]lags[/color] (note is on the line, hit sound arrives later) — negative offset.
· Audio [color=#{pink}]leads[/color] — positive offset.
Calibration: [color=#{sky}]Settings → Audio[/color] → [color=#{primary}]Timing calibration[/color]. [color=#{teal}]Audio calibration[/color] starts a metronome; offset is computed from first-lane key taps (up to ±500 ms). Current value is shown as [color=#{slate}]Offset: … ms[/color]. Reset to 0 with [color=#{pink}]Reset calibration[/color].

[callout info]The settings metronome is used only during calibration.[/callout]","[flow split]
left=headphones.svg|teal|Звук отстаёт|Нужен оффсет −
right=headphones.svg|pink|Звук опережает|Нужен оффсет +
[/flow]

При стабильном смещении попаданий относительно ритма причиной обычно является задержка звуковой карты или наушников, а не сервер.
· Звук [color=#{teal}]отстаёт[/color] (нота уже на линии, удар слышен позже) — отрицательный оффсет.
· Звук [color=#{pink}]опережает[/color] — положительный оффсет.
Калибровка: [color=#{sky}]Настройки → Звук[/color] → блок [color=#{primary}]«Калибровка тайминга»[/color]. Кнопка [color=#{teal}]«Калибровка аудио»[/color] запускает метроном; оффсет рассчитывается по нажатиям клавиши первой линии (до ±500 мс). Текущее значение отображается как [color=#{slate}]«Оффсет: … мс»[/color]. Сброс к 0 — [color=#{pink}]«Сбросить калибровку»[/color].

[callout info]Метроном на вкладке звука используется только во время калибровки.[/callout]"
HELP_server_install_TITLE,How does the generation server work?,Как работает сервер генерации?
HELP_server_install_CONTENT,[color=#{muted}]RhythmFallServer.exe[/color] ships with the game (Windows Python venv in the [color=#{slate}]RhythmFallServer[/color] folder). In [color=#{sky}]Settings → Generation[/color] choose:\n· [color=#{teal}]Automatic[/color] (default) — the game starts a hidden local worker when needed.\n· [color=#{primary}]Manual[/color] — you start the server yourself (console window with logs).\n· [color=#{sky}]LAN[/color] — another PC on your network; enter host and port (often [color=#{teal}]5000[/color]).\nFirst launch may take longer while models load; the game can prewarm the server in the background.,[color=#{muted}]RhythmFallServer.exe[/color] идёт в комплекте с игрой (Windows Python в папке [color=#{slate}]RhythmFallServer[/color]). В [color=#{sky}]Настройки → Генерация[/color]:\n· [color=#{teal}]Автоматически[/color] (по умолчанию) — игра сама поднимает скрытый локальный воркер.\n· [color=#{primary}]Вручную[/color] — сервер запускаете сами (окно консоли с логами).\n· [color=#{sky}]LAN[/color] — другой ПК в сети; укажите адрес и порт (часто [color=#{teal}]5000[/color]).\nПервый запуск может быть дольше из‑за загрузки моделей; игра может прогревать сервер в фоне.
HELP_bpm_stuck_TITLE,BPM or generation doesn't work / hangs,BPM или генерация не работают / «висят»
HELP_bpm_stuck_CONTENT,"Most often the server is [color=#{danger}]not running[/color] (Manual mode) or the [color=#{danger}]LAN address or port is wrong[/color]. In [color=#{teal}]Automatic[/color] mode, wait a few seconds and try again — the game may still be starting the worker.\nCheck [color=#{sky}]Settings → Generation[/color]. In Manual mode, start [color=#{muted}]RhythmFallServer.exe[/color] yourself. After changing networks, retry [color=#{primary}]Detect BPM[/color] and [color=#{mint}]Generate notes[/color].\n\n[callout warning]In LAN mode, make sure the host and port match the server on the other PC.[/callout]","Чаще всего сервер [color=#{danger}]не запущен[/color] (режим «Вручную») или указан [color=#{danger}]неверный адрес/порт LAN[/color]. В режиме [color=#{teal}]«Автоматически»[/color] подождите несколько секунд — воркер может ещё стартовать.\nПроверьте [color=#{sky}]Настройки → Генерация[/color]. Вручную — запустите [color=#{muted}]RhythmFallServer.exe[/color] сами. После смены сети снова нажмите [color=#{primary}]Вычислить BPM[/color] и [color=#{mint}]Сгенерировать ноты[/color].\n\n[callout warning]В режиме LAN убедитесь, что адрес и порт совпадают с сервером на другом ПК.[/callout]"
HELP_note_speed_TITLE,Notes scroll too fast or too slow,Ноты летят слишком быстро или медленно
HELP_note_speed_CONTENT,"Fall speed is set separately from BPM: [color=#{sky}]Settings → Graphics[/color] → [color=#{primary}]Note scroll speed[/color]. BPM affects pattern [color=#{teal}]density[/color] over time, not scroll speed.","Скорость падения задаётся отдельно от BPM: [color=#{sky}]Настройки → Графика[/color] → [color=#{primary}]«Скорость движения нот»[/color]. BPM влияет на [color=#{teal}]плотность[/color] паттерна во времени, а не на скорость прокрутки."
HELP_controls_TITLE,How to play and pause?,Как управлять и поставить на паузу?
HELP_controls_CONTENT,"Press lane keys when a note reaches the hit zone (by default [color=#{primary}]A[/color], [color=#{teal}]S[/color], [color=#{sky}]D[/color], [color=#{mint}]F[/color], and with 5 lanes — [color=#{purple}]G[/color]). You can remap keys in [color=#{sky}]Settings → Controls[/color].\nDuring a song, [color=#{pink}]Esc[/color] opens the pause menu.\n\n[callout tip]Using a Guitar Hero / Rock Band controller? See [color=#{sky}]«Guitar Hero controller»[/color] under [color=#{sky}]Gameplay & settings[/color].[/callout]","Нажимайте клавиши линий, когда нота доходит до зоны попадания (по умолчанию [color=#{primary}]A[/color], [color=#{teal}]S[/color], [color=#{sky}]D[/color], [color=#{mint}]F[/color] и при 5 линиях — [color=#{purple}]G[/color]). Переназначить можно в [color=#{sky}]Настройки → Управление[/color].\nВо время песни [color=#{pink}]Esc[/color] открывает меню паузы.\n\n[callout tip]Есть гитарный контроллер Guitar Hero / Rock Band? См. [color=#{sky}]«Контроллер Guitar Hero»[/color] в разделе [color=#{sky}]«Геймплей и настройки»[/color].[/callout]"
HELP_guitar_hero_controller_TITLE,Guitar Hero / Rock Band controller,Контроллер Guitar Hero / Rock Band
HELP_guitar_hero_controller_SUMMARY,"In short: five colored frets → lanes; D-Pad strum in Pick mode; Start pauses, Select skips.","Коротко: пять цветных ладов → линии; D-Pad — страм в Pick mode; Start — пауза, Select — пропуск."
