keys,en,ru
ACH_1_TITLE,Day novice,Новичок дня
ACH_1_DESC,Complete 5 daily quests,Выполнить 5 ежедневных заданий
ACH_2_TITLE,True diligence,Настоящее усердие
ACH_2_DESC,Complete 20 daily quests,Выполнить 20 ежедневных заданий
ACH_3_TITLE,Day worker,Работник дня
ACH_3_DESC,Complete 50 daily quests,Выполнить 50 ежедневных заданий
ACH_4_TITLE,Daily hero,Ежедневный герой
ACH_4_DESC,Complete 100 daily quests,Выполнить 100 ежедневных заданий
ACH_5_TITLE,Habit master,Мастер привычки
ACH_5_DESC,Complete 250 daily quests,Выполнить 250 ежедневных заданий
ACH_6_TITLE,First purchase,Первая покупка
ACH_6_DESC,Make your first shop purchase,Совершить первую покупку в магазине
ACH_7_TITLE,Collector I,Коллекционер I
ACH_7_DESC,Buy 3 shop items,Купить 3 предмета в магазине
ACH_8_TITLE,Collector II,Коллекционер II
ACH_8_DESC,Buy 5 shop items,Купить 5 предметов в магазине
ACH_9_TITLE,Collector III,Коллекционер III
ACH_9_DESC,Buy 10 shop items,Купить 10 предметов в магазине
ACH_10_TITLE,Collector IV,Коллекционер IV
ACH_10_DESC,Buy 15 shop items,Купить 15 предметов в магазине
ACH_11_TITLE,Hoarder I,Собиратель I
ACH_11_DESC,Collect 5 000 currency,Собрать 5 000 единиц валюты
ACH_12_TITLE,Hoarder II,Собиратель II
ACH_12_DESC,Collect 15 000 currency,Собрать 15 000 единиц валюты
ACH_13_TITLE,Hoarder III,Собиратель III
ACH_13_DESC,Collect 50 000 currency,Собрать 50 000 единиц валюты
ACH_14_TITLE,Generous hand I,Щедрая рука I
ACH_14_DESC,Spend 2 000 currency,Потратить 2 000 единиц валюты
ACH_15_TITLE,Generous hand II,Щедрая рука II
ACH_15_DESC,Spend 5 000 currency,Потратить 5 000 единиц валюты
ACH_16_TITLE,Generous hand III,Щедрая рука III
ACH_16_DESC,Spend 15 000 currency,Потратить 15 000 единиц валюты
ACH_17_TITLE,Style hunter,Охотник за стилем
ACH_17_DESC,Buy one item from each category,Купить по одному предмету из каждой категории
ACH_18_TITLE,Collection complete,Коллекция завершена
ACH_18_DESC,Collect every coin-priced item in the current shop,Собрать все предметы за валюту из текущего ассортимента магазина
ACH_19_TITLE,First day,Первый день
ACH_19_DESC,Log in for the first time,Зайти в игру впервые
ACH_20_TITLE,Week in rhythm,В ритме недели
ACH_20_DESC,Log in 7 days in a row,Заходить в игру 7 дней подряд
ACH_21_TITLE,No days off,Без выходных
ACH_21_DESC,Log in 30 days in a row,Заходить 30 дней подряд
ACH_22_TITLE,Faithful musician,Верный музыкант
ACH_22_DESC,Log in 365 days in a row,Заходить 365 дней подряд
ACH_23_TITLE,Note explorer,Нотный исследователь
ACH_23_DESC,Generate your first chart with the analysis system,Сгенерировать свой первый уровень с помощью системы анализа
ACH_24_TITLE,First chord,Первый аккорд
ACH_24_DESC,Complete your first level,Пройти первый уровень
ACH_25_TITLE,Perfect pitch,Безупречный слух
ACH_25_DESC,Complete a level with 100% accuracy,Пройти уровень с 100% точностью
ACH_26_TITLE,Rhythm novice,Новичок ритма
ACH_26_DESC,Complete 5 levels,Завершить 5 уровней
ACH_27_TITLE,Rhythm master,Ритм-мастер
ACH_27_DESC,Complete 20 levels,Завершить 20 уровней
ACH_28_TITLE,In the groove,В ритме
ACH_28_DESC,Land 1000 accurate hits,Набрать 1000 точных попаданий
ACH_29_TITLE,First hit,Первый удар
ACH_29_DESC,Complete your first percussion level,Пройти первый уровень в режиме перкуссии
ACH_30_TITLE,Clean rhythm,Чистый ритм
ACH_30_DESC,Complete a percussion level with 100% accuracy,Пройти уровень в режиме перкуссии с 100% точностью
