keys,en,ru
SHOP_ITEM_KICK_DEFAULT,Standard kick,Стандартный кик
SHOP_ITEM_COVERS_DEFAULT,Wavy gradient,Волнистый градиент
SHOP_ITEM_LANES_HIGHLIGHT_DEFAULT,Standard stripes,Стандартные полосы
SHOP_ITEM_NOTES_DEFAULT,Standard notes,Стандартные ноты
SHOP_ITEM_KICK_1,Standard Bass Drum,Стандартная бочка
SHOP_ITEM_KICK_2,Heavy Step,Тяжёлый шаг
SHOP_ITEM_KICK_3,Iron Beat,Железный бит
SHOP_ITEM_KICK_4,Deep Thump,Глубокий удар
SHOP_ITEM_KICK_5,Neon Punch,Неон-панч
SHOP_ITEM_KICK_6,Deep Dry Bass Drum,Глубокая сухая бочка
SHOP_ITEM_KICK_7,Reactor Hit,Реакторный удар
SHOP_ITEM_KICK_8,Tight Dry Bass Drum,Плотная сухая бочка
SHOP_ITEM_KICK_9,Storm kick,Штормовой кик
SHOP_ITEM_KICK_10,Memorial kick,Памятный кик
SHOP_ITEM_KICK_11,Granite Strike,Гранитный удар
SHOP_ITEM_KICK_12,Crystal Pulse,Хрустальный импульс
SHOP_ITEM_KICK_13,Twilight Strike,Сумеречный удар
SHOP_ITEM_KICK_14,Midnight Pulse,Полуночный импульс
SHOP_ITEM_COVERS_GEOMETRIC,Crystal facets,Кристальные грани
SHOP_ITEM_COVERS_FLOWING_LINES,Flowing lines,Текучие линии
SHOP_ITEM_COVERS_MUSIC_NOTE,Single note,Одиночная нота
SHOP_ITEM_COVERS_INK_SPLASH,Ink splashes,Брызги чернил
SHOP_ITEM_COVERS_VINYL,Vinyl record,Виниловая пластинка
SHOP_ITEM_COVERS_SPIDERWEB,Ink spiderweb,Чернильная паутина
SHOP_ITEM_COVERS_EXPLOSION,Radial splashes,Радиальные брызги
SHOP_ITEM_COVERS_SHARDS,Shards,Осколки
SHOP_ITEM_COVERS_CROSS,Cross lines,Крестообразные линии
SHOP_ITEM_COVERS_BRUSH,Graphic strokes,Графические штрихи
SHOP_ITEM_COVERS_FALLING_BLOCKS,Falling blocks,Падающие блоки
SHOP_ITEM_PIXEL_AMP,Pixel amp,Пиксельный усилитель
SHOP_ITEM_COVERS_SHATTER,Broken shards,Разбитые осколки
SHOP_ITEM_COVERS_MARBLE_FLOW,Marble flow,Мраморный поток
