keys,en,ru
LANG_RU,Russian,Русский
LANG_EN,English,Английский
BTN_BACK,Back,Назад
HELP_TITLE,Help,Справка
HELP_SUBTITLE,Answers to common questions about the game and note generation.,Ответы на частые вопросы по игре и генерации нот
HELP_SEARCH_PLACEHOLDER,Search help topics…,Поиск по справке…
HELP_SEARCH_EMPTY,No matching topics found.,Ничего не найдено
HELP_SECTION_COUNT,%d questions,%d вопросов
HELP_SELECT_TOPIC,Select a topic on the left.,Выберите вопрос слева
HELP_ESC_HINT,Press Esc to exit,Esc — выход
HELP_FOOTER_HINT,Esc — exit · 1–6 sections · arrow keys — topics,Esc — выход · 1–6 разделы · стрелки — вопросы
SHOP_FOOTER_HINT,Esc — exit · 1–5 categories · ↑↓ scroll,Esc — выход · 1–5 категории · ↑↓ прокрутка
PROFILE_FOOTER_HINT,Esc — exit · 1–4 tabs · Q/W/E chart on Statistics,Esc — выход · 1–4 вкладки · Q/W/E график в статистике
PROFILE_PLAYS,plays,прох.
ACHIEVEMENTS_FOOTER_HINT,Esc — back · / — search,Esc — назад · / — поиск
SETTINGS_FOOTER_HINT,Esc — exit · 1–9 pages,Esc — выход · 1–9 разделы
SETTINGS_FOOTER_APPLY_HINT,Space — apply · Esc — exit · 1–9 pages,Пробел — применить · Esc — выход · 1–9 разделы
DLG_SETTINGS_UNSAVED_TEXT,You have unsaved changes. Save before leaving?,Есть несохранённые изменения. Сохранить перед выходом?
SETTINGS_UNSAVED_DIALOG_TITLE,Settings,Настройки
BTN_DISCARD_CHANGES,Don't save,Не сохранять
GEN_SETTINGS_FOOTER_HINT,Esc — back · 1 instrument · Q/W goal · E/R/T difficulty · A/S/D lanes · Z advanced · Enter confirm,Esc — назад · 1 инструмент · Q/W цель · E/R/T сложность · A/S/D линии · Z расширенные · Enter подтвердить
HELP_RELATED_HEADER,See also,См. также
HELP_SHOWCASE_CHART_DIFFICULTY_TITLE,Chart difficulty (examples),Сложность чарта (примеры)
HELP_SHOWCASE_CHART_DIFFICULTY_BASE_LABEL,Base chart,Базовая сложность чарта
HELP_SHOWCASE_CHART_DIFFICULTY_MODS_LABEL,With run modifiers,С модификаторами забега
HELP_SHOWCASE_CHART_DIFFICULTY_CAPTION,"Rating from note density and chords — often a decimal (e.g. 7.3/10). With modifiers the effective value can exceed 10; bolts cap at 10, overflow shown as +N.N. Color tiers: 1–2 easy → 9–10 extreme.","Рейтинг по плотности нот и аккордам — часто с десятыми (напр. 7,3/10). С модификаторами итоговая оценка может быть выше 10: молнии до 10, сверх лимита — «+N,N». Цвета уровней: 1–2 легко → 9–10 экстрим."
HELP_SHOWCASE_TRACK_MEDALS_TITLE,All track medals (up to 8 per song),Все медали трека (до 8 за песню)
HELP_SHOWCASE_TRACK_MEDALS_CAPTION,Hover a medal for the unlock condition. Unseen medals pulse in the song list until you hover them.,Наведите на медаль — увидите условие. Непросмотренные медали пульсируют в списке песен.
HELP_SHOWCASE_MODIFIERS_TITLE,Run modifiers overview,Обзор модификаторов забега
HELP_SHOWCASE_MODIFIERS_CAPTION,Hover a tile for details. Incompatible mods turn each other off in the modal.,Наведите на плитку — подробности. Несовместимые моды отключают друг друга в окне модификаторов.
HELP_SHOWCASE_MOD_SCREEN_TITLE,Modifier screen sidebar,Боковая панель экрана модификаторов
HELP_SHOWCASE_MOD_SCREEN_CAPTION,Pick a category on the left; cards and details update in the center and right panels.,Слева выберите категорию — карточки и описание обновятся в центре и справа.
HELP_SHOWCASE_MOD_TAB_OVERVIEW_TIP,All categories at a glance and run summary with reward multiplier.,Все категории компактно и сводка забега с множителем награды.
HELP_SHOWCASE_MOD_TAB_EASING_TIP,Half Time No Fail Easy Windows — lower difficulty.,Half Time No Fail Easy — упрощение.
HELP_SHOWCASE_MOD_TAB_HARDENING_TIP,Double Time Heat Rush strict timing visibility lane mods and more.,Ускорение Разгон Рывок строгий тайминг видимость линий и др.
HELP_SHOWCASE_MOD_TAB_SPECIAL_TIP,Fixed speed Time Warp Single Lane Combo Escalation Last Chance and other rule changes.,Фикс. скорость Искажение времени одна линия эскалация по комбо последний шанс и другие правила.
HELP_SHOWCASE_MOD_TAB_DNA_TIP,Rhythm DNA mods — need a .rfd structure file for the track.,Моды Rhythm DNA — нужен файл структуры .rfd у трека.
HELP_SHOWCASE_MOD_DNA_GROUPS_TITLE,DNA tab subcategories,Rhythm DNA: подкатегории
HELP_SHOWCASE_MOD_DNA_STRUCTURE_TIP,Dynamic Lanes — lane count changes by DNA section.,Динамические линии — число линий меняется по секциям Rhythm DNA.
